dauReal_daumau,mauReal_daumau,predictionLoss_desinstalacoes,newinstalls_installs,ratings_ratings_reviews,daily_ratings_ratings_reviews,reviews_ratings_reviews,daily_reviews_ratings_reviews,category_BUSINESS,category_FINANCE,category_FOOD_AND_DRINK,category_OTHERS,category_SHOPPING,category_TRAVEL_AND_LOCAL
112395.0,591203.0,3777.0,2067.0,35870.0,6.0,12991.0,4.0,False,False,False,False,True,False
815.0,18961.0,1897.0,0.0,115.0,0.0,48.0,0.0,False,False,False,True,False,False
124602.0,966721.0,13974.0,1612.0,338894.0,110.0,59012.0,10.0,False,False,False,True,False,False
8888.0,73394.0,1718.0,443.0,36486.0,0.0,21539.0,2.0,False,True,False,False,False,False
2874.0,61716.0,885.0,115.0,3146.0,1.0,851.0,2.0,True,False,False,False,False,False
11905.0,86133.0,2874.0,486.0,2010.0,10.0,1227.0,3.0,False,True,False,False,False,False
89883.0,660867.0,2438.0,1968.0,41891.0,28.0,18151.0,37.0,False,True,False,False,False,False
2568.0,66299.0,1921.0,40.0,2275.0,16.0,462.0,5.0,False,True,False,False,False,False
210524.0,814273.0,26471.0,8628.0,664013.0,26.0,258046.0,15.0,False,False,False,True,False,False
37110.0,454205.0,4743.0,2481.0,74587.0,84.0,29904.0,14.0,False,True,False,False,False,False
5032.0,60124.0,2811.0,748.0,4059.0,6.0,650.0,0.0,False,True,False,False,False,False
1850565.0,11457303.0,80350.0,20312.0,1931159.0,235.0,688383.0,66.0,False,False,False,False,True,False
4094009.0,24681884.0,27530.0,53137.0,961533.0,365.0,496734.0,157.0,False,False,False,True,False,False
814.0,15121.0,2203.0,576.0,2440.0,0.0,312.0,0.0,False,False,False,True,False,False
18998.0,186695.0,4572.0,954.0,5507.0,1.0,2470.0,3.0,False,False,False,False,True,False
42885.0,369293.0,1809.0,412.0,2472.0,11.0,1567.0,8.0,False,False,False,True,False,False
899.0,9655.0,1938.0,72.0,1306.0,0.0,807.0,0.0,False,True,False,False,False,False
24495.0,161953.0,1753.0,980.0,41272.0,1.0,21655.0,5.0,False,True,False,False,False,False
14283.0,153736.0,2682.0,458.0,15506.0,4.0,6722.0,4.0,False,True,False,False,False,False
4220.0,136323.0,1496.0,527.0,97353.0,2.0,40769.0,2.0,False,False,False,False,True,False
295642.0,2447074.0,9485.0,4354.0,168817.0,9.0,94588.0,19.0,False,True,False,False,False,False
4268298.0,1595.0,1785.0,165.0,8052.0,0.0,4816.0,0.0,False,False,False,True,False,False
26086.0,172572.0,15436.0,1539.0,159477.0,35.0,104690.0,38.0,True,False,False,False,False,False
4306.0,63307.0,7329.0,155.0,3851.0,5.0,699.0,1.0,False,False,False,False,False,True
323956.0,66254.0,4482.0,374.0,22653.0,4.0,5039.0,1.0,False,False,True,False,False,False
11512.0,107772.0,4314.0,550.0,8836.0,2.0,3539.0,1.0,False,False,False,False,False,True
57670.0,758684.0,5245.0,4230.0,223767.0,12.0,28025.0,1.0,False,False,False,False,True,False
12443.0,33407.0,1785.0,137.0,2958.0,1.0,1241.0,1.0,True,False,False,False,False,False
2080191.0,12623649.0,125918.0,21526.0,1039113.0,699.0,318955.0,81.0,False,False,False,True,False,False
40357.0,199856.0,1309.0,734.0,67651.0,13.0,17101.0,7.0,False,True,False,False,False,False
333135.0,4878634.0,27237.0,10958.0,533663.0,123.0,213386.0,40.0,False,False,False,False,True,False
59920.0,509353.0,3281.0,1962.0,27176.0,12.0,15084.0,23.0,False,True,False,False,False,False
1818.0,34388.0,1924.0,443.0,2786.0,0.0,1039.0,0.0,False,True,False,False,False,False
124602.0,966721.0,1387.0,117.0,21502.0,1.0,4823.0,1.0,False,True,False,False,False,False
87006.0,766.0,3062.0,1327.0,90400.0,7.0,47912.0,13.0,False,True,False,False,False,False
938.0,6332.0,2929.0,41.0,1247.0,0.0,536.0,0.0,False,False,False,True,False,False
24199.0,323985.0,3186.0,1209.0,11232.0,12.0,5273.0,7.0,False,True,False,False,False,False
13563.0,139100.0,1722.0,0.0,43624.0,2.0,15366.0,3.0,False,False,False,True,False,False
4698.0,55577.0,4621.0,5182.0,209948.0,2.0,30217.0,1.0,False,False,False,False,True,False
2160.0,55413.0,7483.0,191.0,2401.0,2.0,1006.0,0.0,False,False,False,True,False,False
4090.0,86561.0,9631.0,870.0,7930.0,5.0,3000.0,1.0,False,False,False,False,True,False
5790.0,60640.0,6269.0,362.0,10744.0,0.0,4233.0,0.0,False,False,False,False,True,False
1871.0,23779.0,1912.0,25.0,3940.0,1.0,2130.0,2.0,False,False,False,True,False,False
791535.0,2978711.0,15147.0,8039.0,245095.0,6.0,138531.0,17.0,True,False,False,False,False,False
